"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,121","2026-09-04T10:24:32.5735853+02:00","7,13","83.16MiB","83,16","4,06"
"2","3,246","2026-09-04T10:24:34.6989588+02:00","107,38","86.96MiB","86,96","4,25"
"3","6,253","2026-09-04T10:24:37.7050570+02:00","107,89","85.49MiB","85,49","4,17"
"4","8,375","2026-09-04T10:24:39.8273649+02:00","108,61","86.09MiB","86,09","4,2"
"5","10,494","2026-09-04T10:24:41.9461615+02:00","108,25","81.93MiB","81,93","4"
"6","12,609","2026-09-04T10:24:44.0613778+02:00","106,63","84.66MiB","84,66","4,13"
"7","15,615","2026-09-04T10:24:47.0672498+02:00","105,9","89.97MiB","89,97","4,39"
"8","17,729","2026-09-04T10:24:49.1809560+02:00","106,6","88MiB","88","4,3"
"9","19,85","2026-09-04T10:24:51.3019646+02:00","105,87","84.25MiB","84,25","4,11"
"10","21,967","2026-09-04T10:24:53.4192162+02:00","106,24","86.67MiB","86,67","4,23"
"11","24,096","2026-09-04T10:24:55.5490470+02:00","106,88","85.45MiB","85,45","4,17"
"12","27,103","2026-09-04T10:24:58.5557737+02:00","106,02","79.58MiB","79,58","3,89"
"13","29,225","2026-09-04T10:25:00.6772854+02:00","105,99","90.57MiB","90,57","4,42"
"14","31,359","2026-09-04T10:25:02.8111637+02:00","91,16","38.75MiB","38,75","1,89"
