"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,106","2026-09-04T11:07:08.7060064+02:00","6,27","27.77MiB","27,77","1,36"
"2","4,11","2026-09-04T11:07:11.7104925+02:00","100,01","30.42MiB","30,42","1,49"
"3","6,219","2026-09-04T11:07:13.8190321+02:00","100,71","30.18MiB","30,18","1,47"
"4","8,329","2026-09-04T11:07:15.9291789+02:00","100,29","30.8MiB","30,8","1,5"
"5","10,436","2026-09-04T11:07:18.0365278+02:00","100,76","30.86MiB","30,86","1,51"
"6","13,442","2026-09-04T11:07:21.0426263+02:00","99,54","30.86MiB","30,86","1,51"
"7","15,551","2026-09-04T11:07:23.1508138+02:00","100,63","31.36MiB","31,36","1,53"
"8","17,663","2026-09-04T11:07:25.2636995+02:00","99,82","30.89MiB","30,89","1,51"
"9","19,779","2026-09-04T11:07:27.3789055+02:00","99,76","31.12MiB","31,12","1,52"
"10","21,88","2026-09-04T11:07:29.4806470+02:00","100,26","31.97MiB","31,97","1,56"
"11","24,887","2026-09-04T11:07:32.4869281+02:00","100,61","32.42MiB","32,42","1,58"
"12","27","2026-09-04T11:07:34.6005886+02:00","100,24","32.43MiB","32,43","1,58"
"13","29,109","2026-09-04T11:07:36.7094971+02:00","100,19","32.4MiB","32,4","1,58"
"14","31,222","2026-09-04T11:07:38.8221009+02:00","99,98","32.36MiB","32,36","1,58"
