"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,108","2026-09-04T07:37:03.1018544+02:00","4,92","49.12MiB","49,12","2,4"
"2","3,222","2026-09-04T07:37:05.2163695+02:00","101,97","50.01MiB","50,01","2,44"
"3","6,228","2026-09-04T07:37:08.2220762+02:00","102,2","49.95MiB","49,95","2,44"
"4","8,339","2026-09-04T07:37:10.3325658+02:00","102,44","50.09MiB","50,09","2,45"
"5","10,454","2026-09-04T07:37:12.4472182+02:00","101,9","51.48MiB","51,48","2,51"
"6","12,562","2026-09-04T07:37:14.5559267+02:00","102,08","49.57MiB","49,57","2,42"
"7","14,661","2026-09-04T07:37:16.6552196+02:00","101,61","36.86MiB","36,86","1,8"
"8","17,67","2026-09-04T07:37:19.6642135+02:00","102,93","42.55MiB","42,55","2,08"
"9","19,778","2026-09-04T07:37:21.7719951+02:00","101,21","45.52MiB","45,52","2,22"
"10","21,891","2026-09-04T07:37:23.8843396+02:00","102,26","46.4MiB","46,4","2,27"
"11","23,996","2026-09-04T07:37:25.9893745+02:00","101,23","46.03MiB","46,03","2,25"
"12","27,003","2026-09-04T07:37:28.9966669+02:00","102,07","48.56MiB","48,56","2,37"
"13","29,114","2026-09-04T07:37:31.1079524+02:00","101,49","48.94MiB","48,94","2,39"
"14","31,223","2026-09-04T07:37:33.2166132+02:00","101,72","50.07MiB","50,07","2,45"
