"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,105","2026-09-04T09:05:36.6960203+02:00","1,04","21.02MiB","21,02","1,03"
"2","4,111","2026-09-04T09:05:39.7017155+02:00","23,14","24.52MiB","24,52","1,2"
"3","6,22","2026-09-04T09:05:41.8107471+02:00","22,6","25.26MiB","25,26","1,23"
"4","8,341","2026-09-04T09:05:43.9317064+02:00","10,06","26.25MiB","26,25","1,28"
"5","10,454","2026-09-04T09:05:46.0449093+02:00","21,48","26.63MiB","26,63","1,3"
"6","13,459","2026-09-04T09:05:49.0495752+02:00","21,43","27.35MiB","27,35","1,34"
"7","15,584","2026-09-04T09:05:51.1750701+02:00","19,74","29.84MiB","29,84","1,46"
"8","17,706","2026-09-04T09:05:53.2970535+02:00","19,85","30.34MiB","30,34","1,48"
"9","19,83","2026-09-04T09:05:55.4210810+02:00","20,45","30.57MiB","30,57","1,49"
"10","22,835","2026-09-04T09:05:58.4257499+02:00","19,33","31.06MiB","31,06","1,52"
"11","24,957","2026-09-04T09:06:00.5477151+02:00","20,05","31.04MiB","31,04","1,52"
"12","27,079","2026-09-04T09:06:02.6694166+02:00","20,25","30.78MiB","30,78","1,5"
"13","29,198","2026-09-04T09:06:04.7888302+02:00","19,95","30.77MiB","30,77","1,5"
"14","31,335","2026-09-04T09:06:06.9266118+02:00","19,68","30.48MiB","30,48","1,49"
