"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,118","2026-09-04T11:43:15.0975187+02:00","8,1","28MiB","28","1,37"
"2","4,118","2026-09-04T11:43:18.0970488+02:00","100","30.23MiB","30,23","1,48"
"3","6,236","2026-09-04T11:43:20.2156907+02:00","100,67","30.29MiB","30,29","1,48"
"4","8,34","2026-09-04T11:43:22.3192196+02:00","100,74","30.84MiB","30,84","1,51"
"5","10,452","2026-09-04T11:43:24.4312490+02:00","100,57","31.21MiB","31,21","1,52"
"6","13,457","2026-09-04T11:43:27.4360614+02:00","100,02","31.27MiB","31,27","1,53"
"7","15,563","2026-09-04T11:43:29.5425120+02:00","100,23","31.45MiB","31,45","1,54"
"8","17,676","2026-09-04T11:43:31.6555382+02:00","100,36","30.89MiB","30,89","1,51"
"9","19,79","2026-09-04T11:43:33.7693244+02:00","100,07","30.81MiB","30,81","1,5"
"10","21,896","2026-09-04T11:43:35.8759476+02:00","100,43","31.97MiB","31,97","1,56"
"11","24,903","2026-09-04T11:43:38.8827715+02:00","100,69","32MiB","32","1,56"
"12","27,015","2026-09-04T11:43:40.9945047+02:00","99,85","32.09MiB","32,09","1,57"
"13","29,124","2026-09-04T11:43:43.1038691+02:00","100,53","32.18MiB","32,18","1,57"
"14","31,238","2026-09-04T11:43:45.2178644+02:00","99,6","32.02MiB","32,02","1,56"
