"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,106","2026-09-04T11:53:33.7771560+02:00","7,36","27.64MiB","27,64","1,35"
"2","4,111","2026-09-04T11:53:36.7817487+02:00","99,94","30.35MiB","30,35","1,48"
"3","6,218","2026-09-04T11:53:38.8891163+02:00","100,49","30.39MiB","30,39","1,48"
"4","8,32","2026-09-04T11:53:40.9909906+02:00","100,19","29.59MiB","29,59","1,45"
"5","10,428","2026-09-04T11:53:43.0990487+02:00","100,23","30.59MiB","30,59","1,49"
"6","13,435","2026-09-04T11:53:46.1060648+02:00","99,78","31.01MiB","31,01","1,51"
"7","15,547","2026-09-04T11:53:48.2176037+02:00","100,49","31.06MiB","31,06","1,52"
"8","17,659","2026-09-04T11:53:50.3301195+02:00","99,79","30.68MiB","30,68","1,5"
"9","19,769","2026-09-04T11:53:52.4402757+02:00","100,29","30.5MiB","30,5","1,49"
"10","21,876","2026-09-04T11:53:54.5465265+02:00","100,13","31.55MiB","31,55","1,54"
"11","24,883","2026-09-04T11:53:57.5539104+02:00","100,65","31.36MiB","31,36","1,53"
"12","26,993","2026-09-04T11:53:59.6639345+02:00","100,22","31.51MiB","31,51","1,54"
"13","29,098","2026-09-04T11:54:01.7686773+02:00","100,39","31.64MiB","31,64","1,54"
"14","31,21","2026-09-04T11:54:03.8809029+02:00","99,58","31.42MiB","31,42","1,53"
