"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,115","2026-09-04T05:58:50.6029073+02:00","2,55","39.63MiB","39,63","1,94"
"2","3,258","2026-09-04T05:58:52.7457004+02:00","92,49","45.98MiB","45,98","2,24"
"3","6,263","2026-09-04T05:58:55.7504529+02:00","80,5","48.34MiB","48,34","2,36"
"4","8,396","2026-09-04T05:58:57.8837833+02:00","75,9","49.48MiB","49,48","2,42"
"5","10,541","2026-09-04T05:59:00.0278998+02:00","83,82","50.44MiB","50,44","2,46"
"6","12,677","2026-09-04T05:59:02.1648168+02:00","77,37","52.86MiB","52,86","2,58"
"7","15,685","2026-09-04T05:59:05.1724951+02:00","80,36","54.48MiB","54,48","2,66"
"8","17,826","2026-09-04T05:59:07.3138936+02:00","80,69","56.02MiB","56,02","2,74"
"9","19,971","2026-09-04T05:59:09.4584992+02:00","80,96","57.93MiB","57,93","2,83"
"10","22,111","2026-09-04T05:59:11.5983339+02:00","78,91","58.92MiB","58,92","2,88"
"11","24,241","2026-09-04T05:59:13.7282057+02:00","80,29","58.97MiB","58,97","2,88"
"12","27,246","2026-09-04T05:59:16.7336630+02:00","79,48","59.2MiB","59,2","2,89"
"13","29,385","2026-09-04T05:59:18.8717824+02:00","78,39","58.78MiB","58,78","2,87"
"14","31,524","2026-09-04T05:59:21.0112920+02:00","48,89","38.11MiB","38,11","1,86"
