"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,113","2026-09-04T08:35:10.2154993+02:00","4,18","280.6MiB","280,6","13,7"
"2","4,119","2026-09-04T08:35:13.2213672+02:00","30,59","288.6MiB","288,6","14,09"
"3","6,243","2026-09-04T08:35:15.3452769+02:00","29,99","283.5MiB","283,5","13,84"
"4","8,352","2026-09-04T08:35:17.4535998+02:00","28,96","275.8MiB","275,8","13,47"
"5","10,462","2026-09-04T08:35:19.5636494+02:00","28,27","266.5MiB","266,5","13,01"
"6","13,468","2026-09-04T08:35:22.5702428+02:00","31,97","252.9MiB","252,9","12,35"
"7","15,584","2026-09-04T08:35:24.6859782+02:00","30,63","306.9MiB","306,9","14,98"
"8","17,695","2026-09-04T08:35:26.7974760+02:00","26,92","283.4MiB","283,4","13,84"
"9","19,819","2026-09-04T08:35:28.9212964+02:00","26,81","277.1MiB","277,1","13,53"
"10","21,946","2026-09-04T08:35:31.0480967+02:00","29,4","285.5MiB","285,5","13,94"
"11","24,952","2026-09-04T08:35:34.0537856+02:00","28,97","277.9MiB","277,9","13,57"
"12","27,067","2026-09-04T08:35:36.1693681+02:00","27,54","275MiB","275","13,43"
"13","29,182","2026-09-04T08:35:38.2835802+02:00","30,68","287.7MiB","287,7","14,05"
"14","31,313","2026-09-04T08:35:40.4149264+02:00","30,5","296.7MiB","296,7","14,49"
