"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,118","2026-09-04T06:16:59.1074770+02:00","1,61","40.62MiB","40,62","1,98"
"2","3,257","2026-09-04T06:17:01.2466404+02:00","91,96","41.33MiB","41,33","2,02"
"3","6,267","2026-09-04T06:17:04.2559423+02:00","78,09","41.33MiB","41,33","2,02"
"4","8,411","2026-09-04T06:17:06.4002190+02:00","80,59","41.45MiB","41,45","2,02"
"5","10,551","2026-09-04T06:17:08.5402343+02:00","88,53","41.45MiB","41,45","2,02"
"6","12,679","2026-09-04T06:17:10.6677277+02:00","86,64","41.45MiB","41,45","2,02"
"7","15,685","2026-09-04T06:17:13.6745474+02:00","78,41","41.45MiB","41,45","2,02"
"8","17,84","2026-09-04T06:17:15.8294190+02:00","82","41.45MiB","41,45","2,02"
"9","19,982","2026-09-04T06:17:17.9709321+02:00","87,91","41.45MiB","41,45","2,02"
"10","22,127","2026-09-04T06:17:20.1164772+02:00","87,22","41.45MiB","41,45","2,02"
"11","24,27","2026-09-04T06:17:22.2596089+02:00","85,71","41.45MiB","41,45","2,02"
"12","27,285","2026-09-04T06:17:25.2745638+02:00","75,68","41.45MiB","41,45","2,02"
"13","29,431","2026-09-04T06:17:27.4202149+02:00","87,16","41.7MiB","41,7","2,04"
"14","31,568","2026-09-04T06:17:29.5570359+02:00","46,89","40.93MiB","40,93","2"
