"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,109","2026-09-04T11:48:24.5395600+02:00","5,44","27.52MiB","27,52","1,34"
"2","4,115","2026-09-04T11:48:27.5448324+02:00","99,83","30.38MiB","30,38","1,48"
"3","6,231","2026-09-04T11:48:29.6604361+02:00","100,06","30.36MiB","30,36","1,48"
"4","8,343","2026-09-04T11:48:31.7734025+02:00","100,26","30.75MiB","30,75","1,5"
"5","10,452","2026-09-04T11:48:33.8826574+02:00","100,28","31.02MiB","31,02","1,51"
"6","13,457","2026-09-04T11:48:36.8871108+02:00","100,11","31.25MiB","31,25","1,53"
"7","15,568","2026-09-04T11:48:38.9980267+02:00","100,44","31.51MiB","31,51","1,54"
"8","17,679","2026-09-04T11:48:41.1089932+02:00","99,72","30.93MiB","30,93","1,51"
"9","19,791","2026-09-04T11:48:43.2208951+02:00","100,01","30.82MiB","30,82","1,51"
"10","21,894","2026-09-04T11:48:45.3243215+02:00","99,94","31.96MiB","31,96","1,56"
"11","24,901","2026-09-04T11:48:48.3306424+02:00","100,6","32.08MiB","32,08","1,57"
"12","27,013","2026-09-04T11:48:50.4431053+02:00","99,72","31.93MiB","31,93","1,56"
"13","29,12","2026-09-04T11:48:52.5501610+02:00","100,25","32.02MiB","32,02","1,56"
"14","31,236","2026-09-04T11:48:54.6666024+02:00","99,15","31.74MiB","31,74","1,55"
