"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,111","2026-09-04T06:06:37.0077187+02:00","2,12","39.5MiB","39,5","1,93"
"2","3,249","2026-09-04T06:06:39.1457824+02:00","93,49","41.24MiB","41,24","2,01"
"3","6,255","2026-09-04T06:06:42.1523288+02:00","86,73","41.24MiB","41,24","2,01"
"4","8,394","2026-09-04T06:06:44.2909488+02:00","90,39","41.24MiB","41,24","2,01"
"5","10,531","2026-09-04T06:06:46.4275533+02:00","84,63","41.24MiB","41,24","2,01"
"6","12,676","2026-09-04T06:06:48.5727562+02:00","87,48","41.24MiB","41,24","2,01"
"7","15,684","2026-09-04T06:06:51.5805216+02:00","82,79","41.24MiB","41,24","2,01"
"8","17,827","2026-09-04T06:06:53.7237402+02:00","84,87","41.24MiB","41,24","2,01"
"9","19,976","2026-09-04T06:06:55.8726049+02:00","77,7","41.24MiB","41,24","2,01"
"10","22,118","2026-09-04T06:06:58.0147514+02:00","87,48","41.24MiB","41,24","2,01"
"11","24,258","2026-09-04T06:07:00.1548684+02:00","90,52","41.24MiB","41,24","2,01"
"12","27,264","2026-09-04T06:07:03.1610527+02:00","78,25","41.49MiB","41,49","2,03"
"13","29,401","2026-09-04T06:07:05.2976497+02:00","85,04","41.49MiB","41,49","2,03"
"14","31,54","2026-09-04T06:07:07.4365714+02:00","44,45","40.72MiB","40,72","1,99"
