"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,103","2026-09-04T08:41:37.6080628+02:00","4,45","306.3MiB","306,3","14,96"
"2","3,215","2026-09-04T08:41:39.7194971+02:00","27,28","264.9MiB","264,9","12,94"
"3","6,221","2026-09-04T08:41:42.7255882+02:00","29,12","275.2MiB","275,2","13,44"
"4","8,339","2026-09-04T08:41:44.8434205+02:00","29,94","251.4MiB","251,4","12,28"
"5","10,458","2026-09-04T08:41:46.9622397+02:00","31,42","276MiB","276","13,48"
"6","12,576","2026-09-04T08:41:49.0805320+02:00","30,14","292.8MiB","292,8","14,29"
"7","15,582","2026-09-04T08:41:52.0862577+02:00","28,24","281.1MiB","281,1","13,73"
"8","17,703","2026-09-04T08:41:54.2079940+02:00","27,68","277.4MiB","277,4","13,55"
"9","19,816","2026-09-04T08:41:56.3196704+02:00","30,96","286.9MiB","286,9","14,01"
"10","21,926","2026-09-04T08:41:58.4299102+02:00","32,67","293MiB","293","14,31"
"11","24,033","2026-09-04T08:42:00.5371322+02:00","32,68","283MiB","283","13,82"
"12","27,044","2026-09-04T08:42:03.5479896+02:00","29,41","297.3MiB","297,3","14,52"
"13","29,158","2026-09-04T08:42:05.6619311+02:00","29,71","277.3MiB","277,3","13,54"
"14","31,267","2026-09-04T08:42:07.7715465+02:00","30,67","307.3MiB","307,3","15,01"
