"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,103","2026-09-04T08:28:42.8302822+02:00","2,29","75.96MiB","75,96","3,71"
"2","3,222","2026-09-04T08:28:44.9494564+02:00","20,81","126MiB","126","6,15"
"3","6,228","2026-09-04T08:28:47.9556336+02:00","20,39","86.38MiB","86,38","4,22"
"4","8,341","2026-09-04T08:28:50.0680021+02:00","19,34","65.8MiB","65,8","3,21"
"5","10,455","2026-09-04T08:28:52.1821523+02:00","22,72","76.76MiB","76,76","3,75"
"6","12,575","2026-09-04T08:28:54.3020470+02:00","18,51","95.49MiB","95,49","4,66"
"7","14,688","2026-09-04T08:28:56.4159053+02:00","19,76","85.27MiB","85,27","4,16"
"8","17,694","2026-09-04T08:28:59.4218383+02:00","18,7","86MiB","86","4,2"
"9","19,803","2026-09-04T08:29:01.5301079+02:00","17,24","106.3MiB","106,3","5,19"
"10","21,916","2026-09-04T08:29:03.6435671+02:00","15,47","86.64MiB","86,64","4,23"
"11","24,03","2026-09-04T08:29:05.7575341+02:00","17,34","86.6MiB","86,6","4,23"
"12","27,034","2026-09-04T08:29:08.7612016+02:00","17,05","107.1MiB","107,1","5,23"
"13","29,15","2026-09-04T08:29:10.8771563+02:00","15,87","95.73MiB","95,73","4,67"
"14","31,264","2026-09-04T08:29:12.9915978+02:00","20,12","107.2MiB","107,2","5,23"
