"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,106","2026-09-04T06:31:14.3298167+02:00","0","40.54MiB","40,54","1,98"
"2","4,115","2026-09-04T06:31:17.3387351+02:00","93,71","41.06MiB","41,06","2"
"3","6,255","2026-09-04T06:31:19.4791622+02:00","91,63","41.06MiB","41,06","2"
"4","8,389","2026-09-04T06:31:21.6129911+02:00","92,99","41.31MiB","41,31","2,02"
"5","10,532","2026-09-04T06:31:23.7551452+02:00","85,84","41.31MiB","41,31","2,02"
"6","13,538","2026-09-04T06:31:26.7617988+02:00","84,74","41.31MiB","41,31","2,02"
"7","15,675","2026-09-04T06:31:28.8990047+02:00","79,58","41.56MiB","41,56","2,03"
"8","17,81","2026-09-04T06:31:31.0331446+02:00","86,08","41.56MiB","41,56","2,03"
"9","19,941","2026-09-04T06:31:33.1645621+02:00","93,1","41.56MiB","41,56","2,03"
"10","22,948","2026-09-04T06:31:36.1712902+02:00","81,5","41.81MiB","41,81","2,04"
"11","25,09","2026-09-04T06:31:38.3138584+02:00","87,11","41.81MiB","41,81","2,04"
"12","27,223","2026-09-04T06:31:40.4467875+02:00","88,11","41.81MiB","41,81","2,04"
"13","29,367","2026-09-04T06:31:42.5902373+02:00","82,41","41.81MiB","41,81","2,04"
"14","31,529","2026-09-04T06:31:44.7526418+02:00","59,1","41.04MiB","41,04","2"
