"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,116","2026-09-04T11:27:46.6554635+02:00","6,83","27.65MiB","27,65","1,35"
"2","4,12","2026-09-04T11:27:49.6595922+02:00","100,18","30.43MiB","30,43","1,49"
"3","6,236","2026-09-04T11:27:51.7747433+02:00","100,5","30.64MiB","30,64","1,5"
"4","8,348","2026-09-04T11:27:53.8867073+02:00","100,69","30.71MiB","30,71","1,5"
"5","10,459","2026-09-04T11:27:55.9980439+02:00","100,63","30.96MiB","30,96","1,51"
"6","13,465","2026-09-04T11:27:59.0040075+02:00","100,15","30.98MiB","30,98","1,51"
"7","15,57","2026-09-04T11:28:01.1093127+02:00","100,25","31.36MiB","31,36","1,53"
"8","17,673","2026-09-04T11:28:03.2122804+02:00","100,04","30.77MiB","30,77","1,5"
"9","19,777","2026-09-04T11:28:05.3165490+02:00","100,15","30.91MiB","30,91","1,51"
"10","21,883","2026-09-04T11:28:07.4217048+02:00","100,04","31.64MiB","31,64","1,54"
"11","24,888","2026-09-04T11:28:10.4271636+02:00","100,53","32.11MiB","32,11","1,57"
"12","27,004","2026-09-04T11:28:12.5432138+02:00","99,82","31.89MiB","31,89","1,56"
"13","29,106","2026-09-04T11:28:14.6451949+02:00","100,04","31.96MiB","31,96","1,56"
"14","31,219","2026-09-04T11:28:16.7583301+02:00","99,53","32.04MiB","32,04","1,56"
