"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,11","2026-09-04T10:05:10.7258390+02:00","5,95","67.96MiB","67,96","3,32"
"2","4,119","2026-09-04T10:05:13.7348995+02:00","110,28","86.54MiB","86,54","4,23"
"3","6,239","2026-09-04T10:05:15.8558227+02:00","111,57","86.46MiB","86,46","4,22"
"4","8,361","2026-09-04T10:05:17.9777803+02:00","112,23","88.31MiB","88,31","4,31"
"5","10,48","2026-09-04T10:05:20.0964768+02:00","109,9","89.07MiB","89,07","4,35"
"6","13,487","2026-09-04T10:05:23.1039138+02:00","110,22","85.41MiB","85,41","4,17"
"7","15,606","2026-09-04T10:05:25.2222844+02:00","110,76","82.75MiB","82,75","4,04"
"8","17,732","2026-09-04T10:05:27.3484848+02:00","109,75","87.14MiB","87,14","4,25"
"9","19,848","2026-09-04T10:05:29.4637169+02:00","110,91","88.2MiB","88,2","4,31"
"10","21,964","2026-09-04T10:05:31.5807036+02:00","109,89","85.24MiB","85,24","4,16"
"11","24,97","2026-09-04T10:05:34.5867518+02:00","111,21","88.2MiB","88,2","4,31"
"12","27,08","2026-09-04T10:05:36.6966583+02:00","110,82","85.92MiB","85,92","4,2"
"13","29,203","2026-09-04T10:05:38.8190996+02:00","108,38","88.49MiB","88,49","4,32"
"14","31,329","2026-09-04T10:05:40.9452541+02:00","100,57","54.09MiB","54,09","2,64"
