"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,107","2026-09-04T10:02:35.7658112+02:00","0,82","54.6MiB","54,6","2,67"
"2","4,116","2026-09-04T10:02:38.7751192+02:00","106,78","82.95MiB","82,95","4,05"
"3","6,227","2026-09-04T10:02:40.8854683+02:00","107,24","83.76MiB","83,76","4,09"
"4","8,346","2026-09-04T10:02:43.0041485+02:00","109,11","84.77MiB","84,77","4,14"
"5","10,467","2026-09-04T10:02:45.1260072+02:00","107,37","83.02MiB","83,02","4,05"
"6","13,472","2026-09-04T10:02:48.1305599+02:00","108,29","86.88MiB","86,88","4,24"
"7","15,586","2026-09-04T10:02:50.2447470+02:00","105,88","88.43MiB","88,43","4,32"
"8","17,714","2026-09-04T10:02:52.3728685+02:00","104,87","90.02MiB","90,02","4,4"
"9","19,828","2026-09-04T10:02:54.4866312+02:00","105,29","87.19MiB","87,19","4,26"
"10","21,953","2026-09-04T10:02:56.6112115+02:00","105,8","89.48MiB","89,48","4,37"
"11","24,958","2026-09-04T10:02:59.6160853+02:00","106,01","89.77MiB","89,77","4,38"
"12","27,073","2026-09-04T10:03:01.7316235+02:00","106,36","88.98MiB","88,98","4,34"
"13","29,192","2026-09-04T10:03:03.8505813+02:00","104,53","90.71MiB","90,71","4,43"
"14","31,313","2026-09-04T10:03:05.9712386+02:00","97,27","61.63MiB","61,63","3,01"
