"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,106","2026-09-04T05:39:24.8961770+02:00","0","39.88MiB","39,88","1,95"
"2","4,115","2026-09-04T05:39:27.9047314+02:00","89,78","41.25MiB","41,25","2,01"
"3","6,254","2026-09-04T05:39:30.0446851+02:00","82,8","41.5MiB","41,5","2,03"
"4","8,398","2026-09-04T05:39:32.1882523+02:00","81,72","41.5MiB","41,5","2,03"
"5","10,541","2026-09-04T05:39:34.3316301+02:00","85,69","41.5MiB","41,5","2,03"
"6","13,547","2026-09-04T05:39:37.3375178+02:00","83,28","41.5MiB","41,5","2,03"
"7","15,695","2026-09-04T05:39:39.4853996+02:00","84,68","41.5MiB","41,5","2,03"
"8","17,841","2026-09-04T05:39:41.6316194+02:00","87,15","41.5MiB","41,5","2,03"
"9","19,985","2026-09-04T05:39:43.7755320+02:00","89,96","41.5MiB","41,5","2,03"
"10","22,991","2026-09-04T05:39:46.7818573+02:00","91,38","41.5MiB","41,5","2,03"
"11","25,132","2026-09-04T05:39:48.9225047+02:00","89,06","41.5MiB","41,5","2,03"
"12","27,279","2026-09-04T05:39:51.0693956+02:00","85,8","41.75MiB","41,75","2,04"
"13","29,419","2026-09-04T05:39:53.2089722+02:00","87,74","41.75MiB","41,75","2,04"
"14","31,57","2026-09-04T05:39:55.3601672+02:00","52,53","40.97MiB","40,97","2"
