"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,108","2026-09-04T08:20:57.9032164+02:00","4,38","303.2MiB","303,2","14,8"
"2","3,224","2026-09-04T08:21:00.0199321+02:00","30,68","305.2MiB","305,2","14,9"
"3","6,228","2026-09-04T08:21:03.0239656+02:00","28,84","282MiB","282","13,77"
"4","8,339","2026-09-04T08:21:05.1345091+02:00","29,06","293MiB","293","14,31"
"5","10,462","2026-09-04T08:21:07.2575077+02:00","31,35","216.8MiB","216,8","10,59"
"6","12,588","2026-09-04T08:21:09.3836099+02:00","30,3","296.1MiB","296,1","14,46"
"7","15,718","2026-09-04T08:21:12.5132547+02:00","29,58","277.9MiB","277,9","13,57"
"8","17,835","2026-09-04T08:21:14.6303138+02:00","29,06","280.8MiB","280,8","13,71"
"9","19,952","2026-09-04T08:21:16.7472947+02:00","32,35","269.1MiB","269,1","13,14"
"10","22,071","2026-09-04T08:21:18.8668093+02:00","31,34","288.2MiB","288,2","14,07"
"11","24,185","2026-09-04T08:21:20.9799980+02:00","31,85","294.6MiB","294,6","14,38"
"12","27,191","2026-09-04T08:21:23.9864466+02:00","30,65","296MiB","296","14,45"
"13","29,312","2026-09-04T08:21:26.1076905+02:00","30,29","300.5MiB","300,5","14,67"
"14","31,453","2026-09-04T08:21:28.2487971+02:00","24,18","298.5MiB","298,5","14,58"
