"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,114","2026-09-04T07:28:01.3088877+02:00","3,08","37.1MiB","37,1","1,81"
"2","4,114","2026-09-04T07:28:04.3092755+02:00","100,43","45.11MiB","45,11","2,2"
"3","6,22","2026-09-04T07:28:06.4153806+02:00","100,27","37.27MiB","37,27","1,82"
"4","8,332","2026-09-04T07:28:08.5265403+02:00","100,22","41.48MiB","41,48","2,03"
"5","10,437","2026-09-04T07:28:10.6322421+02:00","100,08","45.12MiB","45,12","2,2"
"6","13,443","2026-09-04T07:28:13.6380852+02:00","100,36","37.73MiB","37,73","1,84"
"7","15,557","2026-09-04T07:28:15.7524215+02:00","100,48","45.03MiB","45,03","2,2"
"8","17,658","2026-09-04T07:28:17.8533835+02:00","100,16","41.06MiB","41,06","2"
"9","19,771","2026-09-04T07:28:19.9662233+02:00","100,12","41.17MiB","41,17","2,01"
"10","21,88","2026-09-04T07:28:22.0745346+02:00","100,09","44.99MiB","44,99","2,2"
"11","24,89","2026-09-04T07:28:25.0849004+02:00","100,46","44.5MiB","44,5","2,17"
"12","27,005","2026-09-04T07:28:27.1994116+02:00","100,37","44.76MiB","44,76","2,19"
"13","29,113","2026-09-04T07:28:29.3080496+02:00","100","44.73MiB","44,73","2,18"
"14","31,217","2026-09-04T07:28:31.4121581+02:00","100,53","44.69MiB","44,69","2,18"
