"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,109","2026-09-04T09:22:55.6195891+02:00","1,21","26.99MiB","26,99","1,32"
"2","4,115","2026-09-04T09:22:58.6256788+02:00","9,25","27.84MiB","27,84","1,36"
"3","6,231","2026-09-04T09:23:00.7415805+02:00","8,37","28.59MiB","28,59","1,4"
"4","8,349","2026-09-04T09:23:02.8595187+02:00","9,8","28.67MiB","28,67","1,4"
"5","10,469","2026-09-04T09:23:04.9793485+02:00","9,19","29.29MiB","29,29","1,43"
"6","13,48","2026-09-04T09:23:07.9905612+02:00","8,95","28.12MiB","28,12","1,37"
"7","15,606","2026-09-04T09:23:10.1165320+02:00","9,4","29.34MiB","29,34","1,43"
"8","17,728","2026-09-04T09:23:12.2381438+02:00","9,37","29.31MiB","29,31","1,43"
"9","19,848","2026-09-04T09:23:14.3587362+02:00","10,11","29.69MiB","29,69","1,45"
"10","22,876","2026-09-04T09:23:17.3863551+02:00","1,55","29.37MiB","29,37","1,43"
"11","24,989","2026-09-04T09:23:19.5001741+02:00","8,5","29.22MiB","29,22","1,43"
"12","27,108","2026-09-04T09:23:21.6186558+02:00","1,73","29.17MiB","29,17","1,42"
"13","29,221","2026-09-04T09:23:23.7318534+02:00","1,67","29.17MiB","29,17","1,42"
"14","31,328","2026-09-04T09:23:25.8385982+02:00","9,92","29.63MiB","29,63","1,45"
