"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,113","2026-09-04T06:04:01.4965758+02:00","2,81","42.47MiB","42,47","2,07"
"2","3,257","2026-09-04T06:04:03.6410597+02:00","90,55","46.1MiB","46,1","2,25"
"3","6,262","2026-09-04T06:04:06.6460403+02:00","83,18","48.27MiB","48,27","2,36"
"4","8,4","2026-09-04T06:04:08.7843101+02:00","81,4","50.81MiB","50,81","2,48"
"5","10,561","2026-09-04T06:04:10.9450288+02:00","84,91","51.66MiB","51,66","2,52"
"6","12,698","2026-09-04T06:04:13.0817686+02:00","79,25","53.24MiB","53,24","2,6"
"7","15,703","2026-09-04T06:04:16.0869369+02:00","82,28","55.85MiB","55,85","2,73"
"8","17,826","2026-09-04T06:04:18.2107709+02:00","80,3","56.38MiB","56,38","2,75"
"9","19,966","2026-09-04T06:04:20.3505767+02:00","83,55","57.77MiB","57,77","2,82"
"10","22,108","2026-09-04T06:04:22.4921275+02:00","78,5","58.97MiB","58,97","2,88"
"11","24,257","2026-09-04T06:04:24.6414038+02:00","82,77","58.85MiB","58,85","2,87"
"12","27,264","2026-09-04T06:04:27.6480637+02:00","85,75","58.82MiB","58,82","2,87"
"13","29,413","2026-09-04T06:04:29.7969892+02:00","81,83","58.5MiB","58,5","2,86"
"14","31,549","2026-09-04T06:04:31.9333862+02:00","49,15","40.07MiB","40,07","1,96"
