"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,112","2026-09-04T06:14:23.6729048+02:00","2,57","41.52MiB","41,52","2,03"
"2","3,26","2026-09-04T06:14:25.8202043+02:00","92,83","47.25MiB","47,25","2,31"
"3","6,265","2026-09-04T06:14:28.8262043+02:00","81,73","48.92MiB","48,92","2,39"
"4","8,412","2026-09-04T06:14:30.9728857+02:00","78,35","50.83MiB","50,83","2,48"
"5","10,543","2026-09-04T06:14:33.1043194+02:00","79,65","52.28MiB","52,28","2,55"
"6","12,674","2026-09-04T06:14:35.2355604+02:00","78,59","54.07MiB","54,07","2,64"
"7","15,682","2026-09-04T06:14:38.2427142+02:00","79,15","55.45MiB","55,45","2,71"
"8","17,805","2026-09-04T06:14:40.3658418+02:00","78,67","56.77MiB","56,77","2,77"
"9","19,946","2026-09-04T06:14:42.5064338+02:00","82,82","58.68MiB","58,68","2,87"
"10","22,086","2026-09-04T06:14:44.6472908+02:00","77,67","59.65MiB","59,65","2,91"
"11","24,217","2026-09-04T06:14:46.7783045+02:00","78,75","59.61MiB","59,61","2,91"
"12","27,224","2026-09-04T06:14:49.7846165+02:00","79,21","59.83MiB","59,83","2,92"
"13","29,37","2026-09-04T06:14:51.9306179+02:00","78,78","59.68MiB","59,68","2,91"
"14","31,525","2026-09-04T06:14:54.0862928+02:00","51,72","36.21MiB","36,21","1,77"
