"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,108","2026-09-04T07:47:23.0895633+02:00","2,26","83.48MiB","83,48","4,08"
"2","3,224","2026-09-04T07:47:25.2052758+02:00","22","103.8MiB","103,8","5,07"
"3","6,223","2026-09-04T07:47:28.2043821+02:00","21,14","113.7MiB","113,7","5,55"
"4","8,33","2026-09-04T07:47:30.3113934+02:00","22,52","133.8MiB","133,8","6,54"
"5","10,438","2026-09-04T07:47:32.4191759+02:00","21,02","93.41MiB","93,41","4,56"
"6","12,563","2026-09-04T07:47:34.5443675+02:00","21,38","142.8MiB","142,8","6,97"
"7","14,68","2026-09-04T07:47:36.6622521+02:00","19,87","82.96MiB","82,96","4,05"
"8","17,689","2026-09-04T07:47:39.6711890+02:00","13,2","122.9MiB","122,9","6"
"9","19,8","2026-09-04T07:47:41.7818755+02:00","18,45","88.07MiB","88,07","4,3"
"10","21,915","2026-09-04T07:47:43.8969836+02:00","20,27","117.1MiB","117,1","5,72"
"11","24,038","2026-09-04T07:47:46.0198542+02:00","19,39","127.4MiB","127,4","6,22"
"12","27,045","2026-09-04T07:47:49.0262887+02:00","17,09","70.05MiB","70,05","3,42"
"13","29,158","2026-09-04T07:47:51.1400785+02:00","18,34","57.45MiB","57,45","2,81"
"14","31,27","2026-09-04T07:47:53.2512513+02:00","19,47","87.68MiB","87,68","4,28"
