"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,105","2026-09-04T09:20:14.7094484+02:00","1,36","21.33MiB","21,33","1,04"
"2","4,113","2026-09-04T09:20:17.7170322+02:00","23,79","26.31MiB","26,31","1,28"
"3","6,241","2026-09-04T09:20:19.8453390+02:00","21,55","26.05MiB","26,05","1,27"
"4","8,359","2026-09-04T09:20:21.9635197+02:00","23,27","25.93MiB","25,93","1,27"
"5","10,478","2026-09-04T09:20:24.0825642+02:00","22,03","26.42MiB","26,42","1,29"
"6","13,485","2026-09-04T09:20:27.0884586+02:00","20,65","28.64MiB","28,64","1,4"
"7","15,604","2026-09-04T09:20:29.2083345+02:00","21,74","29.62MiB","29,62","1,45"
"8","17,73","2026-09-04T09:20:31.3345081+02:00","19,99","29.85MiB","29,85","1,46"
"9","19,842","2026-09-04T09:20:33.4457426+02:00","20,18","29.84MiB","29,84","1,46"
"10","22,849","2026-09-04T09:20:36.4532499+02:00","21,08","29.57MiB","29,57","1,44"
"11","24,97","2026-09-04T09:20:38.5745897+02:00","20,8","29.29MiB","29,29","1,43"
"12","27,088","2026-09-04T09:20:40.6912879+02:00","20,31","29.52MiB","29,52","1,44"
"13","29,206","2026-09-04T09:20:42.8102141+02:00","20,15","29.76MiB","29,76","1,45"
"14","31,328","2026-09-04T09:20:44.9318383+02:00","20,51","29.75MiB","29,75","1,45"
