"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,112","2026-09-04T09:33:33.9221814+02:00","0,91","26.52MiB","26,52","1,29"
"2","4,117","2026-09-04T09:33:36.9270653+02:00","10,3","27.11MiB","27,11","1,32"
"3","6,232","2026-09-04T09:33:39.0415176+02:00","9,67","27.55MiB","27,55","1,35"
"4","8,345","2026-09-04T09:33:41.1551223+02:00","9,39","27.76MiB","27,76","1,36"
"5","10,469","2026-09-04T09:33:43.2795309+02:00","11,2","28.7MiB","28,7","1,4"
"6","13,481","2026-09-04T09:33:46.2912803+02:00","8,76","27.65MiB","27,65","1,35"
"7","15,6","2026-09-04T09:33:48.4097566+02:00","9,29","28.86MiB","28,86","1,41"
"8","17,719","2026-09-04T09:33:50.5285034+02:00","8,84","29.07MiB","29,07","1,42"
"9","19,847","2026-09-04T09:33:52.6567696+02:00","9,62","29.02MiB","29,02","1,42"
"10","22,854","2026-09-04T09:33:55.6644594+02:00","10,83","29.85MiB","29,85","1,46"
"11","24,966","2026-09-04T09:33:57.7755090+02:00","9,26","30MiB","30","1,46"
"12","27,085","2026-09-04T09:33:59.8945665+02:00","8,45","30.36MiB","30,36","1,48"
"13","29,199","2026-09-04T09:34:02.0087672+02:00","9,2","30.54MiB","30,54","1,49"
"14","31,322","2026-09-04T09:34:04.1320959+02:00","10,31","29.88MiB","29,88","1,46"
