"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,105","2026-09-04T07:00:55.9558428+02:00","4,91","48.78MiB","48,78","2,38"
"2","3,209","2026-09-04T07:00:58.0602783+02:00","101,58","50.42MiB","50,42","2,46"
"3","6,216","2026-09-04T07:01:01.0674713+02:00","102,17","49.95MiB","49,95","2,44"
"4","8,331","2026-09-04T07:01:03.1820850+02:00","101,84","50.34MiB","50,34","2,46"
"5","10,436","2026-09-04T07:01:05.2865711+02:00","102,35","50.48MiB","50,48","2,46"
"6","12,549","2026-09-04T07:01:07.4004099+02:00","101,88","50.27MiB","50,27","2,45"
"7","14,655","2026-09-04T07:01:09.5060460+02:00","101,59","52.16MiB","52,16","2,55"
"8","17,662","2026-09-04T07:01:12.5137630+02:00","101,76","52.11MiB","52,11","2,54"
"9","19,772","2026-09-04T07:01:14.6236393+02:00","102,37","35.41MiB","35,41","1,73"
"10","21,885","2026-09-04T07:01:16.7359904+02:00","102,11","35.3MiB","35,3","1,72"
"11","24,002","2026-09-04T07:01:18.8533904+02:00","101,92","36.18MiB","36,18","1,77"
"12","27,005","2026-09-04T07:01:21.8562437+02:00","102,79","37.13MiB","37,13","1,81"
"13","29,117","2026-09-04T07:01:23.9675984+02:00","102,51","36.76MiB","36,76","1,8"
"14","31,224","2026-09-04T07:01:26.0752796+02:00","102,94","38.65MiB","38,65","1,89"
