"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,11","2026-09-04T10:33:35.1983379+02:00","5,38","68.93MiB","68,93","3,37"
"2","4,116","2026-09-04T10:33:38.2037038+02:00","104,97","85.05MiB","85,05","4,15"
"3","6,238","2026-09-04T10:33:40.3258740+02:00","105,58","84.54MiB","84,54","4,13"
"4","8,356","2026-09-04T10:33:42.4437339+02:00","105,24","92.94MiB","92,94","4,54"
"5","10,475","2026-09-04T10:33:44.5632943+02:00","104,99","87.57MiB","87,57","4,28"
"6","13,478","2026-09-04T10:33:47.5663328+02:00","109,54","93.38MiB","93,38","4,56"
"7","15,606","2026-09-04T10:33:49.6938276+02:00","104,77","90.39MiB","90,39","4,41"
"8","17,725","2026-09-04T10:33:51.8133149+02:00","106,12","89.43MiB","89,43","4,37"
"9","19,85","2026-09-04T10:33:53.9384097+02:00","107,01","87.66MiB","87,66","4,28"
"10","21,985","2026-09-04T10:33:56.0731592+02:00","108,19","92.31MiB","92,31","4,51"
"11","24,986","2026-09-04T10:33:59.0739325+02:00","106,62","97.26MiB","97,26","4,75"
"12","27,105","2026-09-04T10:34:01.1930414+02:00","106,58","92.19MiB","92,19","4,5"
"13","29,231","2026-09-04T10:34:03.3188591+02:00","105,66","93MiB","93","4,54"
"14","31,359","2026-09-04T10:34:05.4471796+02:00","90,19","57.95MiB","57,95","2,83"
