"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,127","2026-09-04T06:13:06.1411603+02:00","1,22","41.27MiB","41,27","2,02"
"2","4,131","2026-09-04T06:13:09.1453073+02:00","93,77","46.91MiB","46,91","2,29"
"3","6,274","2026-09-04T06:13:11.2878333+02:00","81,73","48.64MiB","48,64","2,38"
"4","8,409","2026-09-04T06:13:13.4233306+02:00","81,38","50.21MiB","50,21","2,45"
"5","10,554","2026-09-04T06:13:15.5686866+02:00","82,6","51.93MiB","51,93","2,54"
"6","13,562","2026-09-04T06:13:18.5759691+02:00","86,07","53.67MiB","53,67","2,62"
"7","15,706","2026-09-04T06:13:20.7206183+02:00","74,16","55.83MiB","55,83","2,73"
"8","17,839","2026-09-04T06:13:22.8530983+02:00","85,62","56.56MiB","56,56","2,76"
"9","19,985","2026-09-04T06:13:24.9987231+02:00","85,32","58.06MiB","58,06","2,84"
"10","22,992","2026-09-04T06:13:28.0055232+02:00","82,78","58.54MiB","58,54","2,86"
"11","25,145","2026-09-04T06:13:30.1588962+02:00","78,69","58.54MiB","58,54","2,86"
"12","27,29","2026-09-04T06:13:32.3048499+02:00","83,48","59.04MiB","59,04","2,88"
"13","29,435","2026-09-04T06:13:34.4490114+02:00","79,55","59.29MiB","59,29","2,89"
"14","31,589","2026-09-04T06:13:36.6031017+02:00","49,56","28.39MiB","28,39","1,39"
