"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,104","2026-09-04T10:06:27.8898928+02:00","7,54","69.44MiB","69,44","3,39"
"2","3,228","2026-09-04T10:06:30.0142509+02:00","110,26","93.26MiB","93,26","4,55"
"3","6,234","2026-09-04T10:06:33.0208211+02:00","110,5","90.73MiB","90,73","4,43"
"4","8,346","2026-09-04T10:06:35.1326808+02:00","109,27","95.57MiB","95,57","4,67"
"5","10,458","2026-09-04T10:06:37.2447151+02:00","108,6","92.33MiB","92,33","4,51"
"6","12,577","2026-09-04T10:06:39.3633150+02:00","110,48","90.09MiB","90,09","4,4"
"7","14,688","2026-09-04T10:06:41.4746088+02:00","109,11","92.55MiB","92,55","4,52"
"8","17,697","2026-09-04T10:06:44.4832945+02:00","108,26","95.71MiB","95,71","4,67"
"9","19,821","2026-09-04T10:06:46.6069560+02:00","109,04","93.33MiB","93,33","4,56"
"10","21,937","2026-09-04T10:06:48.7231686+02:00","109,3","95.62MiB","95,62","4,67"
"11","24,058","2026-09-04T10:06:50.8442783+02:00","109,56","93.68MiB","93,68","4,57"
"12","27,063","2026-09-04T10:06:53.8489231+02:00","109,44","94.91MiB","94,91","4,63"
"13","29,174","2026-09-04T10:06:55.9599996+02:00","110,04","93.52MiB","93,52","4,57"
"14","31,316","2026-09-04T10:06:58.1026171+02:00","100,27","67.95MiB","67,95","3,32"
