"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,11","2026-09-04T11:44:32.2520921+02:00","6,98","28.93MiB","28,93","1,41"
"2","3,22","2026-09-04T11:44:34.3623121+02:00","100,77","32.54MiB","32,54","1,59"
"3","6,228","2026-09-04T11:44:37.3699032+02:00","100,09","32.08MiB","32,08","1,57"
"4","8,329","2026-09-04T11:44:39.4706064+02:00","100,32","32.43MiB","32,43","1,58"
"5","10,44","2026-09-04T11:44:41.5813228+02:00","99,97","32.16MiB","32,16","1,57"
"6","12,546","2026-09-04T11:44:43.6877092+02:00","100,72","32.77MiB","32,77","1,6"
"7","14,653","2026-09-04T11:44:45.7955989+02:00","99,49","32.55MiB","32,55","1,59"
"8","17,66","2026-09-04T11:44:48.8021522+02:00","100,48","31.69MiB","31,69","1,55"
"9","19,773","2026-09-04T11:44:50.9151791+02:00","99,83","31.73MiB","31,73","1,55"
"10","21,886","2026-09-04T11:44:53.0276663+02:00","99,93","32.44MiB","32,44","1,58"
"11","23,997","2026-09-04T11:44:55.1394175+02:00","100,03","32.43MiB","32,43","1,58"
"12","27,005","2026-09-04T11:44:58.1468667+02:00","99,58","32.8MiB","32,8","1,6"
"13","29,118","2026-09-04T11:45:00.2599800+02:00","100,47","32.75MiB","32,75","1,6"
"14","31,227","2026-09-04T11:45:02.3693287+02:00","99,78","32.55MiB","32,55","1,59"
