"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","2,085","2026-09-04T05:30:20.2626748+02:00","90,34","38.72MiB","38,72","1,89"
"2","4,241","2026-09-04T05:30:22.4158819+02:00","86,61","38.72MiB","38,72","1,89"
"3","6,379","2026-09-04T05:30:24.5539331+02:00","85,29","38.72MiB","38,72","1,89"
"4","8,528","2026-09-04T05:30:26.7027857+02:00","87,36","38.97MiB","38,97","1,9"
"5","10,659","2026-09-04T05:30:28.8340039+02:00","86,22","38.97MiB","38,97","1,9"
"6","13,666","2026-09-04T05:30:31.8408753+02:00","81,91","38.97MiB","38,97","1,9"
"7","15,806","2026-09-04T05:30:33.9812622+02:00","87,41","38.97MiB","38,97","1,9"
"8","17,949","2026-09-04T05:30:36.1230282+02:00","84,5","38.97MiB","38,97","1,9"
"9","20,101","2026-09-04T05:30:38.2762054+02:00","86,81","39.22MiB","39,22","1,92"
"10","23,11","2026-09-04T05:30:41.2849060+02:00","89,34","39.22MiB","39,22","1,92"
"11","25,253","2026-09-04T05:30:43.4271956+02:00","83,68","39.22MiB","39,22","1,92"
"12","27,394","2026-09-04T05:30:45.5684426+02:00","80,68","39.22MiB","39,22","1,92"
"13","29,54","2026-09-04T05:30:47.7148917+02:00","83,8","39.21MiB","39,21","1,91"
"14","32,549","2026-09-04T05:30:50.7243726+02:00","0,01","38.18MiB","38,18","1,86"
