"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,106","2026-09-04T06:58:21.2317868+02:00","6,41","36.21MiB","36,21","1,77"
"2","3,221","2026-09-04T06:58:23.3467998+02:00","100,4","40.92MiB","40,92","2"
"3","6,225","2026-09-04T06:58:26.3505654+02:00","100,77","44.73MiB","44,73","2,18"
"4","8,339","2026-09-04T06:58:28.4644492+02:00","100,1","44.96MiB","44,96","2,2"
"5","10,441","2026-09-04T06:58:30.5665070+02:00","100,57","45.2MiB","45,2","2,21"
"6","12,552","2026-09-04T06:58:32.6776435+02:00","100,51","44.89MiB","44,89","2,19"
"7","14,668","2026-09-04T06:58:34.7942664+02:00","100,39","41.08MiB","41,08","2,01"
"8","17,678","2026-09-04T06:58:37.8036041+02:00","100,18","45MiB","45","2,2"
"9","19,79","2026-09-04T06:58:39.9162836+02:00","99,94","45.26MiB","45,26","2,21"
"10","21,892","2026-09-04T06:58:42.0184089+02:00","100,21","45.2MiB","45,2","2,21"
"11","24","2026-09-04T06:58:44.1263394+02:00","100,18","45.13MiB","45,13","2,2"
"12","27,007","2026-09-04T06:58:47.1335714+02:00","100,57","44.73MiB","44,73","2,18"
"13","29,126","2026-09-04T06:58:49.2516366+02:00","100,14","41.01MiB","41,01","2"
"14","31,231","2026-09-04T06:58:51.3575342+02:00","100,26","44.83MiB","44,83","2,19"
