"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,115","2026-09-04T05:40:42.4194687+02:00","0","39.83MiB","39,83","1,94"
"2","3,268","2026-09-04T05:40:44.5725203+02:00","94,34","41.7MiB","41,7","2,04"
"3","6,272","2026-09-04T05:40:47.5767803+02:00","76,35","41.95MiB","41,95","2,05"
"4","8,417","2026-09-04T05:40:49.7217274+02:00","71,25","41.95MiB","41,95","2,05"
"5","10,559","2026-09-04T05:40:51.8635291+02:00","77,1","41.95MiB","41,95","2,05"
"6","12,696","2026-09-04T05:40:54.0003596+02:00","81,06","41.95MiB","41,95","2,05"
"7","15,703","2026-09-04T05:40:57.0075124+02:00","75,17","41.95MiB","41,95","2,05"
"8","17,837","2026-09-04T05:40:59.1408827+02:00","72,82","41.95MiB","41,95","2,05"
"9","19,968","2026-09-04T05:41:01.2724026+02:00","83,72","41.95MiB","41,95","2,05"
"10","22,103","2026-09-04T05:41:03.4070651+02:00","73,04","41.95MiB","41,95","2,05"
"11","24,243","2026-09-04T05:41:05.5469524+02:00","82,44","41.95MiB","41,95","2,05"
"12","27,249","2026-09-04T05:41:08.5534406+02:00","87,36","41.95MiB","41,95","2,05"
"13","29,379","2026-09-04T05:41:10.6837956+02:00","75,14","41.95MiB","41,95","2,05"
"14","31,509","2026-09-04T05:41:12.8137029+02:00","54,95","41.37MiB","41,37","2,02"
