"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,112","2026-09-04T10:37:27.7761846+02:00","9,3","67.71MiB","67,71","3,31"
"2","3,232","2026-09-04T10:37:29.8958700+02:00","110,36","82.6MiB","82,6","4,03"
"3","6,235","2026-09-04T10:37:32.8994514+02:00","112,1","88.39MiB","88,39","4,32"
"4","8,357","2026-09-04T10:37:35.0211765+02:00","109,64","92.25MiB","92,25","4,5"
"5","10,477","2026-09-04T10:37:37.1413344+02:00","110,98","81.2MiB","81,2","3,96"
"6","12,594","2026-09-04T10:37:39.2584165+02:00","110,96","80.57MiB","80,57","3,93"
"7","15,598","2026-09-04T10:37:42.2620125+02:00","110,94","89.6MiB","89,6","4,38"
"8","17,716","2026-09-04T10:37:44.3802753+02:00","110,06","85.52MiB","85,52","4,18"
"9","19,827","2026-09-04T10:37:46.4913924+02:00","109,82","88.86MiB","88,86","4,34"
"10","21,94","2026-09-04T10:37:48.6045997+02:00","110,71","82.23MiB","82,23","4,02"
"11","24,052","2026-09-04T10:37:50.7161367+02:00","110,6","88.92MiB","88,92","4,34"
"12","27,06","2026-09-04T10:37:53.7240950+02:00","108,96","83.91MiB","83,91","4,1"
"13","29,172","2026-09-04T10:37:55.8368174+02:00","109,93","90.04MiB","90,04","4,4"
"14","31,313","2026-09-04T10:37:57.9766907+02:00","101,55","54.12MiB","54,12","2,64"
