"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,11","2026-09-04T07:34:28.3456482+02:00","8,44","39.21MiB","39,21","1,91"
"2","3,229","2026-09-04T07:34:30.4651860+02:00","100,77","43.99MiB","43,99","2,15"
"3","6,234","2026-09-04T07:34:33.4692325+02:00","100,05","44.05MiB","44,05","2,15"
"4","8,346","2026-09-04T07:34:35.5811412+02:00","100,13","44.59MiB","44,59","2,18"
"5","10,447","2026-09-04T07:34:37.6832143+02:00","100,55","44.85MiB","44,85","2,19"
"6","12,555","2026-09-04T07:34:39.7907233+02:00","100,31","44.85MiB","44,85","2,19"
"7","14,667","2026-09-04T07:34:41.9030423+02:00","100,27","44.86MiB","44,86","2,19"
"8","17,673","2026-09-04T07:34:44.9089309+02:00","99,88","44.71MiB","44,71","2,18"
"9","19,786","2026-09-04T07:34:47.0217003+02:00","99,7","41.19MiB","41,19","2,01"
"10","21,902","2026-09-04T07:34:49.1370253+02:00","99,94","44.97MiB","44,97","2,2"
"11","24,015","2026-09-04T07:34:51.2503331+02:00","100","41.32MiB","41,32","2,02"
"12","27,021","2026-09-04T07:34:54.2568439+02:00","100,14","36.88MiB","36,88","1,8"
"13","29,134","2026-09-04T07:34:56.3697876+02:00","99,99","40.96MiB","40,96","2"
"14","31,237","2026-09-04T07:34:58.4733004+02:00","99,96","37.14MiB","37,14","1,81"
