"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,114","2026-09-04T06:55:46.4370165+02:00","6,89","50.35MiB","50,35","2,46"
"2","3,229","2026-09-04T06:55:48.5523622+02:00","102,15","50.49MiB","50,49","2,47"
"3","6,239","2026-09-04T06:55:51.5622547+02:00","101,99","50.34MiB","50,34","2,46"
"4","8,353","2026-09-04T06:55:53.6757014+02:00","102,45","50.23MiB","50,23","2,45"
"5","10,46","2026-09-04T06:55:55.7830390+02:00","102,49","50.86MiB","50,86","2,48"
"6","12,581","2026-09-04T06:55:57.9041696+02:00","102,93","35.42MiB","35,42","1,73"
"7","14,688","2026-09-04T06:56:00.0109819+02:00","102,2","36.1MiB","36,1","1,76"
"8","17,692","2026-09-04T06:56:03.0153343+02:00","103,01","35.34MiB","35,34","1,73"
"9","19,802","2026-09-04T06:56:05.1248301+02:00","102,63","36.23MiB","36,23","1,77"
"10","21,908","2026-09-04T06:56:07.2309363+02:00","102,97","37.11MiB","37,11","1,81"
"11","24,017","2026-09-04T06:56:09.3401097+02:00","102,5","37MiB","37","1,81"
"12","27,024","2026-09-04T06:56:12.3471003+02:00","102,63","36.7MiB","36,7","1,79"
"13","29,139","2026-09-04T06:56:14.4617387+02:00","102,86","38.84MiB","38,84","1,9"
"14","31,253","2026-09-04T06:56:16.5759239+02:00","102,25","45MiB","45","2,2"
