"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,107","2026-09-04T10:28:25.1765257+02:00","5,91","76.28MiB","76,28","3,72"
"2","4,114","2026-09-04T10:28:28.1840473+02:00","106,33","89.84MiB","89,84","4,39"
"3","6,248","2026-09-04T10:28:30.3179882+02:00","105,83","96.95MiB","96,95","4,73"
"4","8,375","2026-09-04T10:28:32.4452454+02:00","107,87","92.2MiB","92,2","4,5"
"5","10,491","2026-09-04T10:28:34.5606299+02:00","106,78","88.15MiB","88,15","4,3"
"6","13,495","2026-09-04T10:28:37.5648060+02:00","108,11","92.41MiB","92,41","4,51"
"7","15,619","2026-09-04T10:28:39.6887754+02:00","107","95.14MiB","95,14","4,65"
"8","17,735","2026-09-04T10:28:41.8047789+02:00","105,55","94.63MiB","94,63","4,62"
"9","19,856","2026-09-04T10:28:43.9261615+02:00","105,74","91.27MiB","91,27","4,46"
"10","22,988","2026-09-04T10:28:47.0576667+02:00","105,16","95.45MiB","95,45","4,66"
"11","25,099","2026-09-04T10:28:49.1687550+02:00","106,16","93.71MiB","93,71","4,58"
"12","27,223","2026-09-04T10:28:51.2929847+02:00","105,24","98.43MiB","98,43","4,81"
"13","29,341","2026-09-04T10:28:53.4107117+02:00","105,7","96.87MiB","96,87","4,73"
"14","31,458","2026-09-04T10:28:55.5275871+02:00","78,4","53.12MiB","53,12","2,59"
