"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,108","2026-09-04T07:44:48.1962922+02:00","5,01","297.1MiB","297,1","14,51"
"2","3,227","2026-09-04T07:44:50.3159514+02:00","28,3","316.2MiB","316,2","15,44"
"3","6,239","2026-09-04T07:44:53.3267081+02:00","30,61","219MiB","219","10,69"
"4","8,347","2026-09-04T07:44:55.4354526+02:00","28,88","282.2MiB","282,2","13,78"
"5","10,465","2026-09-04T07:44:57.5538386+02:00","32,49","276.2MiB","276,2","13,49"
"6","12,591","2026-09-04T07:44:59.6798083+02:00","32,29","271.9MiB","271,9","13,28"
"7","14,707","2026-09-04T07:45:01.7958283+02:00","31,42","277.7MiB","277,7","13,56"
"8","17,712","2026-09-04T07:45:04.8005443+02:00","28,55","290.4MiB","290,4","14,18"
"9","19,834","2026-09-04T07:45:06.9228413+02:00","31,21","290.3MiB","290,3","14,17"
"10","21,95","2026-09-04T07:45:09.0392805+02:00","32,02","296.3MiB","296,3","14,47"
"11","24,072","2026-09-04T07:45:11.1602212+02:00","30,35","267.9MiB","267,9","13,08"
"12","27,077","2026-09-04T07:45:14.1655304+02:00","27,12","293.2MiB","293,2","14,31"
"13","29,186","2026-09-04T07:45:16.2747769+02:00","31,09","281.6MiB","281,6","13,75"
"14","31,296","2026-09-04T07:45:18.3849876+02:00","29,19","282.7MiB","282,7","13,81"
