"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,112","2026-09-04T09:41:32.9420246+02:00","1,07","21.46MiB","21,46","1,05"
"2","4,119","2026-09-04T09:41:35.9492245+02:00","20,67","24.92MiB","24,92","1,22"
"3","6,245","2026-09-04T09:41:38.0753135+02:00","21,29","25.14MiB","25,14","1,23"
"4","8,374","2026-09-04T09:41:40.2041930+02:00","21,63","23.82MiB","23,82","1,16"
"5","10,499","2026-09-04T09:41:42.3287997+02:00","19,95","24.74MiB","24,74","1,21"
"6","13,502","2026-09-04T09:41:45.3316033+02:00","19,94","26.21MiB","26,21","1,28"
"7","15,623","2026-09-04T09:41:47.4529332+02:00","19,05","29.45MiB","29,45","1,44"
"8","17,739","2026-09-04T09:41:49.5686858+02:00","19,27","29.95MiB","29,95","1,46"
"9","19,862","2026-09-04T09:41:51.6914191+02:00","19,23","29.68MiB","29,68","1,45"
"10","22,863","2026-09-04T09:41:54.6927676+02:00","19,68","29.41MiB","29,41","1,44"
"11","24,985","2026-09-04T09:41:56.8151072+02:00","18,35","29.65MiB","29,65","1,45"
"12","27,103","2026-09-04T09:41:58.9333549+02:00","19,97","29.14MiB","29,14","1,42"
"13","29,224","2026-09-04T09:42:01.0538631+02:00","20,24","29.11MiB","29,11","1,42"
"14","31,362","2026-09-04T09:42:03.1920083+02:00","8,64","29.1MiB","29,1","1,42"
"15","34,381","2026-09-04T09:42:06.2107636+02:00","0,03","28.84MiB","28,84","1,41"
"16","36,495","2026-09-04T09:42:08.3241312+02:00","0","28.84MiB","28,84","1,41"
