"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,111","2026-09-04T11:14:53.0005892+02:00","5,81","26.55MiB","26,55","1,3"
"2","4,112","2026-09-04T11:14:56.0003268+02:00","100,27","26.55MiB","26,55","1,3"
"3","6,219","2026-09-04T11:14:58.1080909+02:00","100,61","26.64MiB","26,64","1,3"
"4","8,337","2026-09-04T11:15:00.2259071+02:00","99,96","26.77MiB","26,77","1,31"
"5","10,444","2026-09-04T11:15:02.3334560+02:00","100,16","26.05MiB","26,05","1,27"
"6","13,452","2026-09-04T11:15:05.3406117+02:00","100,8","25.86MiB","25,86","1,26"
"7","15,562","2026-09-04T11:15:07.4504987+02:00","101,11","27.22MiB","27,22","1,33"
"8","17,672","2026-09-04T11:15:09.5607008+02:00","100,76","27.4MiB","27,4","1,34"
"9","19,787","2026-09-04T11:15:11.6760379+02:00","100,64","27.4MiB","27,4","1,34"
"10","21,893","2026-09-04T11:15:13.7818711+02:00","99,79","27.62MiB","27,62","1,35"
"11","24,899","2026-09-04T11:15:16.7883535+02:00","100,15","27.62MiB","27,62","1,35"
"12","27,006","2026-09-04T11:15:18.8945567+02:00","100,01","27.62MiB","27,62","1,35"
"13","29,117","2026-09-04T11:15:21.0064432+02:00","99,78","27.62MiB","27,62","1,35"
"14","31,222","2026-09-04T11:15:23.1113239+02:00","99,82","27.62MiB","27,62","1,35"
