"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,116","2026-09-04T11:54:50.9201750+02:00","8,84","27.9MiB","27,9","1,36"
"2","3,223","2026-09-04T11:54:53.0277900+02:00","100,77","30.56MiB","30,56","1,49"
"3","6,229","2026-09-04T11:54:56.0331729+02:00","99,92","30.79MiB","30,79","1,5"
"4","8,344","2026-09-04T11:54:58.1483849+02:00","100,7","31.36MiB","31,36","1,53"
"5","10,448","2026-09-04T11:55:00.2526621+02:00","100,27","31.3MiB","31,3","1,53"
"6","12,558","2026-09-04T11:55:02.3622621+02:00","100,53","31.52MiB","31,52","1,54"
"7","14,664","2026-09-04T11:55:04.4685425+02:00","99,79","31.75MiB","31,75","1,55"
"8","17,67","2026-09-04T11:55:07.4746973+02:00","100,09","31.33MiB","31,33","1,53"
"9","19,773","2026-09-04T11:55:09.5773360+02:00","100,17","31.46MiB","31,46","1,54"
"10","21,878","2026-09-04T11:55:11.6831872+02:00","99,7","32.07MiB","32,07","1,57"
"11","23,983","2026-09-04T11:55:13.7875513+02:00","100,38","31.75MiB","31,75","1,55"
"12","26,989","2026-09-04T11:55:16.7934128+02:00","100,05","32.16MiB","32,16","1,57"
"13","29,092","2026-09-04T11:55:18.8961935+02:00","100,44","32.15MiB","32,15","1,57"
"14","31,206","2026-09-04T11:55:21.0105505+02:00","99,54","32.2MiB","32,2","1,57"
