"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,126","2026-09-04T11:16:10.1990874+02:00","8,97","27.49MiB","27,49","1,34"
"2","3,24","2026-09-04T11:16:12.3123687+02:00","100,11","27.74MiB","27,74","1,35"
"3","6,243","2026-09-04T11:16:15.3167830+02:00","100,59","28.24MiB","28,24","1,38"
"4","8,358","2026-09-04T11:16:17.4308530+02:00","100,14","28.24MiB","28,24","1,38"
"5","10,462","2026-09-04T11:16:19.5354273+02:00","100,25","28.49MiB","28,49","1,39"
"6","12,569","2026-09-04T11:16:21.6420834+02:00","99,81","28.49MiB","28,49","1,39"
"7","14,678","2026-09-04T11:16:23.7512560+02:00","100,84","28.21MiB","28,21","1,38"
"8","17,684","2026-09-04T11:16:26.7574460+02:00","100,83","29.12MiB","29,12","1,42"
"9","19,791","2026-09-04T11:16:28.8644250+02:00","100,45","29.12MiB","29,12","1,42"
"10","21,9","2026-09-04T11:16:30.9727723+02:00","100,01","29.12MiB","29,12","1,42"
"11","24,005","2026-09-04T11:16:33.0778408+02:00","99,95","29.12MiB","29,12","1,42"
"12","27,01","2026-09-04T11:16:36.0833175+02:00","100,67","28.05MiB","28,05","1,37"
"13","29,123","2026-09-04T11:16:38.1965897+02:00","99,81","28.04MiB","28,04","1,37"
"14","31,233","2026-09-04T11:16:40.3062195+02:00","99,46","28.29MiB","28,29","1,38"
