"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,11","2026-09-04T09:06:57.1221371+02:00","1,04","26.77MiB","26,77","1,31"
"2","4,116","2026-09-04T09:07:00.1276579+02:00","8,72","27.57MiB","27,57","1,35"
"3","6,234","2026-09-04T09:07:02.2457669+02:00","8,31","28.11MiB","28,11","1,37"
"4","8,349","2026-09-04T09:07:04.3601378+02:00","9,87","29.08MiB","29,08","1,42"
"5","10,468","2026-09-04T09:07:06.4797347+02:00","9,69","29.45MiB","29,45","1,44"
"6","13,474","2026-09-04T09:07:09.4861068+02:00","8,64","29.43MiB","29,43","1,44"
"7","15,596","2026-09-04T09:07:11.6078043+02:00","8,06","29.04MiB","29,04","1,42"
"8","17,708","2026-09-04T09:07:13.7194886+02:00","8,26","29.1MiB","29,1","1,42"
"9","19,826","2026-09-04T09:07:15.8374568+02:00","8,56","29.04MiB","29,04","1,42"
"10","22,83","2026-09-04T09:07:18.8415438+02:00","9,43","29.07MiB","29,07","1,42"
"11","24,942","2026-09-04T09:07:20.9536491+02:00","8,32","29.25MiB","29,25","1,43"
"12","27,057","2026-09-04T09:07:23.0680399+02:00","8,8","29.44MiB","29,44","1,44"
"13","29,174","2026-09-04T09:07:25.1859784+02:00","8,42","29.58MiB","29,58","1,44"
"14","31,291","2026-09-04T09:07:27.3031425+02:00","9,69","30.48MiB","30,48","1,49"
