"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,111","2026-09-04T06:49:19.6781777+02:00","5,69","50.53MiB","50,53","2,47"
"2","4,109","2026-09-04T06:49:22.6759699+02:00","102,1","50.48MiB","50,48","2,46"
"3","6,224","2026-09-04T06:49:24.7917742+02:00","102,32","36.28MiB","36,28","1,77"
"4","8,332","2026-09-04T06:49:26.8997130+02:00","102,28","57.65MiB","57,65","2,82"
"5","10,438","2026-09-04T06:49:29.0056064+02:00","102,58","36.55MiB","36,55","1,78"
"6","13,444","2026-09-04T06:49:32.0110199+02:00","102,54","57.23MiB","57,23","2,79"
"7","15,548","2026-09-04T06:49:34.1154312+02:00","102,84","37.13MiB","37,13","1,81"
"8","17,653","2026-09-04T06:49:36.2198065+02:00","102,58","37.77MiB","37,77","1,84"
"9","19,765","2026-09-04T06:49:38.3321636+02:00","102,11","37.91MiB","37,91","1,85"
"10","21,882","2026-09-04T06:49:40.4491693+02:00","102,41","37.91MiB","37,91","1,85"
"11","24,886","2026-09-04T06:49:43.4535929+02:00","101,78","46.78MiB","46,78","2,28"
"12","26,995","2026-09-04T06:49:45.5620372+02:00","102,12","46.41MiB","46,41","2,27"
"13","29,098","2026-09-04T06:49:47.6658391+02:00","101,96","47.05MiB","47,05","2,3"
"14","31,217","2026-09-04T06:49:49.7837616+02:00","101,95","47.44MiB","47,44","2,32"
