"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,107","2026-09-04T08:06:45.8442241+02:00","1,8","66.05MiB","66,05","3,23"
"2","4,112","2026-09-04T08:06:48.8485044+02:00","20,44","66.46MiB","66,46","3,25"
"3","6,233","2026-09-04T08:06:50.9695700+02:00","19,27","46.21MiB","46,21","2,26"
"4","8,344","2026-09-04T08:06:53.0808470+02:00","20,27","96.47MiB","96,47","4,71"
"5","10,466","2026-09-04T08:06:55.2034848+02:00","19,59","86.83MiB","86,83","4,24"
"6","13,471","2026-09-04T08:06:58.2073840+02:00","18,67","105.3MiB","105,3","5,14"
"7","15,575","2026-09-04T08:07:00.3121589+02:00","15,26","85.78MiB","85,78","4,19"
"8","17,697","2026-09-04T08:07:02.4339434+02:00","20,95","86.08MiB","86,08","4,2"
"9","19,813","2026-09-04T08:07:04.5501100+02:00","18,97","106MiB","106","5,18"
"10","21,943","2026-09-04T08:07:06.6794047+02:00","19,1","101MiB","101","4,93"
"11","24,95","2026-09-04T08:07:09.6868303+02:00","17,07","89.94MiB","89,94","4,39"
"12","27,07","2026-09-04T08:07:11.8068619+02:00","20,69","90.39MiB","90,39","4,41"
"13","29,194","2026-09-04T08:07:13.9310668+02:00","19,76","100.4MiB","100,4","4,9"
"14","31,304","2026-09-04T08:07:16.0410187+02:00","21,18","70.08MiB","70,08","3,42"
