"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,112","2026-09-04T06:02:43.9925355+02:00","0,04","40.76MiB","40,76","1,99"
"2","4,121","2026-09-04T06:02:47.0017716+02:00","88,72","48.26MiB","48,26","2,36"
"3","6,263","2026-09-04T06:02:49.1435306+02:00","75,81","49.19MiB","49,19","2,4"
"4","8,404","2026-09-04T06:02:51.2852388+02:00","79,19","50.22MiB","50,22","2,45"
"5","10,534","2026-09-04T06:02:53.4146139+02:00","81,15","51.8MiB","51,8","2,53"
"6","13,541","2026-09-04T06:02:56.4220448+02:00","83,96","53.02MiB","53,02","2,59"
"7","15,681","2026-09-04T06:02:58.5620689+02:00","74,4","55.18MiB","55,18","2,69"
"8","17,821","2026-09-04T06:03:00.7014083+02:00","79,94","57.16MiB","57,16","2,79"
"9","19,955","2026-09-04T06:03:02.8363057+02:00","82,2","58.25MiB","58,25","2,84"
"10","22,973","2026-09-04T06:03:05.8533492+02:00","82,66","59.14MiB","59,14","2,89"
"11","25,11","2026-09-04T06:03:07.9913903+02:00","79,65","59.39MiB","59,39","2,9"
"12","27,249","2026-09-04T06:03:10.1292509+02:00","77,53","59.36MiB","59,36","2,9"
"13","29,39","2026-09-04T06:03:12.2707565+02:00","79,26","58.49MiB","58,49","2,86"
"14","31,535","2026-09-04T06:03:14.4160369+02:00","55,55","30.22MiB","30,22","1,48"
