"sample","elapsed_seconds","timestamp","cpu_percent","memory_usage","memory_mib","memory_percent"
"1","1,107","2026-09-04T07:06:05.5088680+02:00","7,81","50.11MiB","50,11","2,45"
"2","3,217","2026-09-04T07:06:07.6184613+02:00","102,16","50.5MiB","50,5","2,47"
"3","6,223","2026-09-04T07:06:10.6247455+02:00","102,15","49.98MiB","49,98","2,44"
"4","8,343","2026-09-04T07:06:12.7442789+02:00","101,76","50.37MiB","50,37","2,46"
"5","10,46","2026-09-04T07:06:14.8618149+02:00","102,35","55.16MiB","55,16","2,69"
"6","12,568","2026-09-04T07:06:16.9698095+02:00","102,59","35.56MiB","35,56","1,74"
"7","14,678","2026-09-04T07:06:19.0789855+02:00","102,41","36.45MiB","36,45","1,78"
"8","17,682","2026-09-04T07:06:22.0834904+02:00","102,64","37.4MiB","37,4","1,83"
"9","19,784","2026-09-04T07:06:24.1862846+02:00","102,96","37.79MiB","37,79","1,85"
"10","21,894","2026-09-04T07:06:26.2951278+02:00","102,34","37.43MiB","37,43","1,83"
"11","24,006","2026-09-04T07:06:28.4081009+02:00","101,9","44.41MiB","44,41","2,17"
"12","27,02","2026-09-04T07:06:31.4220006+02:00","101,47","45.37MiB","45,37","2,22"
"13","29,13","2026-09-04T07:06:33.5305845+02:00","102,32","46.86MiB","46,86","2,29"
"14","31,24","2026-09-04T07:06:35.6418370+02:00","101,74","47.21MiB","47,21","2,31"
